time_sec,frame,speed_mps,obstacle_ratio,override,brake,collision,roi_lookahead_px,min_obstacle_dist_px
0.050,17824,0.490,0.00000,0,0.000,0,0,
0.100,17825,0.980,0.00000,0,0.000,0,0,
0.150,17826,1.470,0.00000,0,0.000,0,129,
0.200,17827,1.960,0.00000,0,0.000,0,139,
0.250,17828,2.450,0.00000,0,0.000,0,149,
0.300,17829,2.940,0.00000,0,0.000,0,158,
0.350,17830,2.065,0.00000,0,0.000,0,141,
0.400,17831,0.738,0.00000,0,0.000,0,114,
0.450,17832,0.112,0.00000,0,0.000,0,102,
0.500,17833,0.151,0.00000,0,0.000,0,103,
0.550,17834,0.513,0.00000,0,0.000,0,110,
0.600,17835,1.173,0.00000,0,0.000,0,123,
0.650,17836,1.788,0.00000,0,0.000,0,135,
0.700,17837,2.286,0.00000,0,0.000,0,145,
0.750,17838,2.685,0.00000,0,0.000,0,153,
0.800,17839,3.046,0.00000,0,0.000,0,160,
0.850,17840,3.384,0.00000,0,0.000,0,167,
0.900,17841,3.700,0.00000,0,0.000,0,173,
0.950,17842,3.997,0.00000,0,0.000,0,179,
1.000,17843,4.284,0.00000,0,0.000,0,185,
1.050,17844,4.564,0.00000,0,0.000,0,191,
1.100,17845,4.839,0.00000,0,0.000,0,196,
1.150,17846,5.111,0.00000,0,0.000,0,202,
1.200,17847,5.380,0.00000,0,0.000,0,207,
1.250,17848,5.408,0.00000,0,0.000,0,208,
1.300,17849,5.521,0.00000,0,0.000,0,210,
1.350,17850,5.646,0.00000,0,0.000,0,212,
1.400,17851,5.861,0.00000,0,0.000,0,217,
1.450,17852,6.062,0.00000,0,0.000,0,221,
1.500,17853,6.444,0.00000,0,0.000,0,228,
1.550,17854,6.665,0.00000,0,0.000,0,233,
1.600,17855,6.907,0.00000,0,0.000,0,238,
1.650,17856,7.154,0.00000,0,0.000,0,243,
1.700,17857,7.405,0.00000,0,0.000,0,248,
1.750,17858,7.664,0.00000,0,0.000,0,253,
1.800,17859,7.928,0.00000,0,0.000,0,258,
1.850,17860,8.158,0.00000,0,0.000,0,263,
1.900,17861,8.330,0.00000,0,0.000,0,266,
1.950,17862,8.415,0.00000,0,0.000,0,268,
2.000,17863,8.380,0.00000,0,0.000,0,267,
2.050,17864,8.314,0.00000,0,0.000,0,266,
2.100,17865,8.224,0.00000,0,0.000,0,264,
2.150,17866,8.097,0.00000,0,0.000,0,261,
2.200,17867,7.996,0.00000,0,0.000,0,259,
2.250,17868,7.926,0.00000,0,0.000,0,258,
2.300,17869,7.893,0.00000,0,0.000,0,257,
2.350,17870,7.874,0.00000,0,0.000,0,257,
2.400,17871,7.910,0.00000,0,0.000,0,258,
2.450,17872,7.979,0.00000,0,0.000,0,259,
2.500,17873,8.056,0.00000,0,0.000,0,261,
2.550,17874,8.123,0.00000,0,0.000,0,262,
2.600,17875,8.165,0.00000,0,0.000,0,263,
2.650,17876,8.179,0.00000,0,0.000,0,263,
2.700,17877,8.126,0.00000,0,0.000,0,262,
2.750,17878,8.011,0.00000,0,0.000,0,260,
2.800,17879,7.873,0.00000,0,0.000,0,257,
2.850,17880,7.767,0.00000,0,0.000,0,255,
2.900,17881,7.730,0.00000,0,0.000,0,254,
2.950,17882,7.767,0.00000,0,0.000,0,255,
3.000,17883,7.863,0.00000,0,0.000,0,257,
3.050,17884,7.968,0.00000,0,0.000,0,259,
3.100,17885,8.087,0.00000,0,0.000,0,261,
3.150,17886,8.187,0.00000,0,0.000,0,263,
3.200,17887,8.243,0.00000,0,0.000,0,264,
3.250,17888,8.253,0.00000,0,0.000,0,265,
3.300,17889,8.204,0.00000,0,0.000,0,264,
3.350,17890,8.148,0.00000,0,0.000,0,262,
3.400,17891,8.086,0.00000,0,0.000,0,261,
3.450,17892,8.032,0.00000,0,0.000,0,260,
3.500,17893,7.973,0.00000,0,0.000,0,259,
3.550,17894,7.952,0.00000,0,0.000,0,259,
3.600,17895,7.958,0.00000,0,0.000,0,259,
3.650,17896,7.966,0.00000,0,0.000,0,259,
3.700,17897,8.004,0.00000,0,0.000,0,260,
3.750,17898,8.052,0.00000,0,0.000,0,261,
3.800,17899,8.062,0.00000,0,0.000,0,261,
3.850,17900,8.082,0.00000,0,0.000,0,261,
3.900,17901,8.100,0.00000,0,0.000,0,261,
3.950,17902,8.073,0.00000,0,0.000,0,261,
4.000,17903,8.065,0.00000,0,0.000,0,261,
4.050,17904,8.067,0.00000,0,0.000,0,261,
4.100,17905,8.068,0.00000,0,0.000,0,261,
4.150,17906,8.072,0.00000,0,0.000,0,261,
4.200,17907,8.046,0.00000,0,0.000,0,260,
4.250,17908,8.044,0.00000,0,0.000,0,260,
4.300,17909,8.048,0.00000,0,0.000,0,260,
4.350,17910,8.057,0.00000,0,0.000,0,261,
4.400,17911,8.066,0.00000,0,0.000,0,261,
4.450,17912,8.055,0.00000,0,0.000,0,261,
4.500,17913,8.058,0.00000,0,0.000,0,261,
4.550,17914,8.066,0.00000,0,0.000,0,261,
4.600,17915,8.072,0.00000,0,0.000,0,261,
4.650,17916,8.076,0.00000,0,0.000,0,261,
4.700,17917,8.077,0.00000,0,0.000,0,261,
4.750,17918,8.076,0.00000,0,0.000,0,261,
4.800,17919,8.073,0.00000,0,0.000,0,261,
4.850,17920,8.068,0.00000,0,0.000,0,261,
4.900,17921,8.063,0.00000,0,0.000,0,261,
4.950,17922,8.060,0.00000,0,0.000,0,261,
5.000,17923,8.058,0.00000,0,0.000,0,261,
5.050,17924,8.058,0.00000,0,0.000,0,261,
5.100,17925,8.060,0.00000,0,0.000,0,261,
5.150,17926,8.062,0.00000,0,0.000,0,261,
5.200,17927,8.064,0.00000,0,0.000,0,261,
5.250,17928,8.066,0.00000,0,0.000,0,261,
5.300,17929,8.068,0.00000,0,0.000,0,261,
5.350,17930,8.069,0.00000,0,0.000,0,261,
5.400,17931,8.069,0.00000,0,0.000,0,261,
5.450,17932,8.068,0.00000,0,0.000,0,261,
5.500,17933,8.067,0.00000,0,0.000,0,261,
